"id","picture_url","host_id","host_since","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_picture_url","host_total_listings_count","host_verifications","host_identity_verified","latitude","longitude","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","amenities","guests_included","minimum_nights","number_of_reviews","first_review","last_review","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","cancellation_policy","reviews_per_month","price"
"16604081","https://a0.muscache.com/im/pictures/b6b90e81-e0b0-470b-b155-1c2127d6b6b4.jpg?aki_policy=large","40428413","2015-08-03","within an hour","100%","N/A","t","https://a0.muscache.com/im/pictures/fe41a547-b0ca-4781-a12c-adc2a50c1677.jpg?aki_policy=profile_x_medium","5","{email, phone, google, reviews, jumio}","t","40.586595562533724","-73.80006007530042","House","Private room","2","1.0","1","2","Real Bed","{TV,Internet,Wireless Internet,Air conditioning,Kitchen,Gym,Buzzer/wireless intercom,Heating,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Patio or balcony,Garden or backyard,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Host greets you,Waterfront,Beachfront}","2","2","1","2017-06-14","2017-06-14","100","10","10","10","10","10","10","strict","0.27","$124.00"
"15839869","https://a0.muscache.com/im/pictures/1a7099b3-0001-440a-a02b-fd9683b30d85.jpg?aki_policy=large","102588471","2016-11-05","within an hour","100%","N/A","f","https://a0.muscache.com/im/pictures/229ff647-27ea-4471-a716-16ec9d41685f.jpg?aki_policy=profile_x_medium","1","{email, phone, reviews}","f","40.593764284940825","-73.79995534247924","Guest suite","Private room","3","1.0","0","3","Real Bed","{Wireless Internet,Kitchen,Free parking on premises,Breakfast,Heating,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Laptop friendly workspace}","1","1","36","2016-11-12","2017-09-24","97","10","10","10","10","9","10","flexible","3.31","$95.00"
"5009768","https://a0.muscache.com/im/pictures/62718198/41d5ee5b_original.jpg?aki_policy=large","25837009","2015-01-09","within an hour","100%","N/A","t","https://a0.muscache.com/im/users/25837009/profile_pic/1426158960/original.jpg?aki_policy=profile_x_medium","1","{email, phone, reviews, kba}","t","40.586336337578565","-73.79906049243286","Apartment","Entire home/apt","4","1.0","1","2","Real Bed","{TV,Cable TV,Internet,Wireless Internet,Air conditioning,Pool,Kitchen,Free parking on premises,Pets allowed,Gym,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Self Check-In,Keypad,Private entrance,Bathtub,Room-darkening shades,Hot water,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,BBQ grill,Patio or balcony,Garden or backyard,Luggage dropoff allowed,Ground floor access,Wide hallway clearance,Wide doorway,Well-lit path to entrance,Step-free access,Wide doorway,Wide clearance to bed,Step-free access,Wide doorway,Accessible-height toilet,Wide clearance to shower & toilet,Step-free access,Wide entryway,Beachfront,Handheld shower head}","4","3","47","2015-03-08","2017-09-01","98","10","10","10","10","10","10","strict","1.50","$180.00"
"14733074","https://a0.muscache.com/im/pictures/476a1721-06fd-4b04-8da2-1e5be4769089.jpg?aki_policy=large","91755572","2016-08-24","within an hour","100%","N/A","f","https://a0.muscache.com/im/pictures/32b2352a-9b6d-475b-9abf-9dfb06c726c6.jpg?aki_policy=profile_x_medium","1","{phone, reviews}","f","40.59621824780025","-73.79649903104684","House","Private room","1","1.0","1","1","Real Bed","{TV,Wireless Internet,Air conditioning,Free parking on premises,Heating,Smoke detector,Carbon monoxide detector,Essentials,Lock on bedroom door,Hangers,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Microwave,Coffee maker}","1","2","3","2017-01-03","2017-07-11","100","10","10","10","10","10","10","flexible","0.33","$49.00"
"3852261","https://a0.muscache.com/im/pictures/5bbb734d-77eb-4bbc-bf09-2f96802d0ca0.jpg?aki_policy=large","19866189","2014-08-11","within an hour","100%","N/A","f","https://a0.muscache.com/im/pictures/c374698b-98d1-411d-a403-70c5475f1c45.jpg?aki_policy=profile_x_medium","5","{email, phone, facebook, reviews, jumio}","t","40.58835236586346","-73.79565338552283","Bed & Breakfast","Private room","2","2.0","1","1","Real Bed","{TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Gym,Breakfast,Indoor fireplace,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50,Private living room,Private entrance,Waterfront,Beachfront}","1","1","86","2014-08-21","2017-07-28","98","10","10","10","10","10","10","flexible","2.26","$129.00"
"14426371","https://a0.muscache.com/im/pictures/87a3700e-382b-4d10-8d2c-e9bfb29811b7.jpg?aki_policy=large","6194019","2013-05-02","within an hour","100%","N/A","t","https://a0.muscache.com/im/pictures/7d1d8081-2cec-4457-ab16-12ed1b0d960e.jpg?aki_policy=profile_x_medium","1","{email, phone, facebook, amex, reviews, jumio, selfie, government_id, identity_manual}","t","40.59785631886621","-73.80013300531476","Apartment","Private room","1","1.0","1","1","Real Bed","{Internet,Wireless Internet,Air conditioning,Kitchen,Heating,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,Lock on bedroom door,Hangers,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50}","1","2","19","2016-08-14","2017-09-10","99","10","10","10","10","10","10","moderate","1.37","$42.00"
"15597266","https://a0.muscache.com/im/pictures/25d75e87-3f83-421f-b5cc-8af773dec81b.jpg?aki_policy=large","97536353","2016-10-01","within an hour","83%","N/A","f","https://a0.muscache.com/im/pictures/bc4491a2-96e6-4420-adb6-675a47c8d191.jpg?aki_policy=profile_x_medium","2","{email, phone, reviews}","f","40.59054754489466","-73.79281037382822","House","Private room","2","1.0","1","1","Real Bed","{TV,Cable TV,Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Smoke detector,Carbon monoxide detector,First aid kit,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace}","1","1","4","2016-12-28","2017-08-27","90","10","9","10","10","10","9","flexible","0.43","$60.00"
"14843072","https://a0.muscache.com/im/pictures/526a1a93-84de-4dee-8de8-8c121deefc43.jpg?aki_policy=large","65179","2009-12-22","within an hour","100%","N/A","f","https://a0.muscache.com/im/users/65179/profile_pic/1261541955/original.jpg?aki_policy=profile_x_medium","1","{email, phone, facebook, reviews, jumio, offline_government_id, government_id}","t","40.59599650962599","-73.7886582390808","Boat","Entire home/apt","3","0.0","2","2","Real Bed","{Kitchen,Free parking on premises,Indoor fireplace,Heating,Family/kid friendly,Essentials,Hangers,Laptop friendly workspace}","2","1","17","2016-09-09","2017-09-17","94","10","9","10","10","9","9","flexible","1.31","$191.00"
"19912699","https://a0.muscache.com/im/pictures/176ab4d3-b066-4689-9cda-8c0ac3262b96.jpg?aki_policy=large","27272337","2015-02-05","within an hour","100%","N/A","f","https://a0.muscache.com/im/users/27272337/profile_pic/1423162852/original.jpg?aki_policy=profile_x_medium","1","{email, phone, reviews, kba}","t","40.58799799487094","-73.79086564790364","House","Private room","2","1.0","1","1","Real Bed","{TV,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Breakfast,Indoor fireplace,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,Fire extinguisher,Essentials,Shampoo,Hangers,Iron,Laptop friendly workspace,Private living room}","2","3","1","2017-08-28","2017-08-28","100","10","10","10","10","10","10","flexible","0.81","$95.00"
"15311833","https://a0.muscache.com/im/pictures/2ed2ae0a-2d6b-4ad4-8060-d2c3847f83a9.jpg?aki_policy=large","97536353","2016-10-01","within an hour","83%","N/A","f","https://a0.muscache.com/im/pictures/bc4491a2-96e6-4420-adb6-675a47c8d191.jpg?aki_policy=profile_x_medium","2","{email, phone, reviews}","f","40.58929234672052","-73.79441447208264","House","Private room","2","1.0","1","1","Real Bed","{TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Heating,Family/kid friendly,Smoke detector,Carbon monoxide detector,First aid kit,Essentials,Shampoo,Lock on bedroom door,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace}","2","3","3","2016-12-16","2017-06-21","93","10","9","9","10","10","10","flexible","0.31","$60.00"
"20586405","https://a0.muscache.com/im/pictures/b707c63d-b836-4fc5-80c8-ab663ed01ab2.jpg?aki_policy=large","51524470","2015-12-16","within an hour","98%","N/A","f","https://a0.muscache.com/im/pictures/b0e81006-5285-420c-8beb-afe03e3a4e8f.jpg?aki_policy=profile_x_medium","8","{email, phone, reviews, jumio, government_id}","t","40.592485959568705","-73.78846416226041","Apartment","Private room","2","1.0","1","2","Real Bed","{TV,Cable TV,Wireless Internet,Kitchen,Indoor fireplace,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace}","2","1","3","2017-09-04","2017-09-28","87","9","9","10","10","10","9","strict","3","$0.00"
"20026248","https://a0.muscache.com/im/pictures/5e08c5a5-70fa-4d41-a6eb-dc57b2683014.jpg?aki_policy=large","37318968","2015-07-02","within an hour","100%","N/A","f","https://a0.muscache.com/im/pictures/c081e90e-0db5-49ab-a12b-ca799c9e4b36.jpg?aki_policy=profile_x_medium","1","{phone, google, reviews}","f","40.59082074029359","-73.80328430148712","House","Entire home/apt","8","1.0","3","5","Real Bed","{TV,Wireless Internet,Air conditioning,Kitchen,Breakfast,Family/kid friendly,Essentials,Hangers,Self Check-In,Keypad,Private entrance}","1","2","4","2017-08-02","2017-09-04","100","10","10","10","10","10","9","moderate","1.90","$275.00"
"13556488","https://a0.muscache.com/im/pictures/456e91cb-b892-47b3-b986-6b68e7140c5a.jpg?aki_policy=large","22591516","2014-10-15","N/A","N/A","N/A","f","https://a0.muscache.com/im/users/22591516/profile_pic/1413482442/original.jpg?aki_policy=profile_x_medium","1","{email, phone, reviews, kba}","t","40.58927653175948","-73.79531335107484","Apartment","Private room","2","1.0","1","1","Real Bed","{TV,Wireless Internet,Air conditioning,Kitchen,Washer,Dryer,Essentials,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50}","1","1","2","2016-06-26","2016-08-22","100","10","10","10","10","10","10","flexible","0.13","$150.00"
"16251872","https://a0.muscache.com/im/pictures/c8a16fc3-77e4-44eb-9f36-bc55188aff1a.jpg?aki_policy=large","17286452","2014-06-26","within an hour","100%","N/A","t","https://a0.muscache.com/im/users/17286452/profile_pic/1403797518/original.jpg?aki_policy=profile_x_medium","1","{email, phone, facebook, reviews, jumio, government_id}","t","40.58913782551158","-73.79155340805909","House","Private room","3","1.0","1","1","Real Bed","{TV,Cable TV,Wireless Internet,Heating,Washer,Dryer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,Lock on bedroom door,Hangers,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Self Check-In,Smart lock,Hot water,Bed linens,Extra pillows and blankets,Pocket wifi,Single level home,Garden or backyard,Long term stays allowed}","1","3","16","2017-03-22","2017-09-20","99","10","10","10","10","10","10","flexible","2.45","$25.00"
"20679072","https://a0.muscache.com/im/pictures/824e61ea-313a-4a70-891a-00fe70fc9cd3.jpg?aki_policy=large","139957134","2017-07-11","within an hour","100%","N/A","f","https://a0.muscache.com/im/pictures/7f94a547-780f-41cc-b3f7-a4d267681e93.jpg?aki_policy=profile_x_medium","3","{email, phone, reviews}","f","40.59753572208829","-73.7994881148422","House","Private room","2","1.0","1","1","Real Bed","{TV,Cable TV,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Pets live on this property,Heating,Smoke detector,Carbon monoxide detector,First aid kit,Fire extinguisher,Essentials,Hangers,Hair dryer,Iron,Hot water,Host greets you}","1","1","5","2017-09-01","2017-09-17","92","9","9","9","9","8","9","flexible","4.55","$50.00"
"20678858","https://a0.muscache.com/im/pictures/d73f7542-c172-4a12-9e57-53ea5659a1e9.jpg?aki_policy=large","139957134","2017-07-11","within an hour","100%","N/A","f","https://a0.muscache.com/im/pictures/7f94a547-780f-41cc-b3f7-a4d267681e93.jpg?aki_policy=profile_x_medium","3","{email, phone, reviews}","f","40.59735754383835","-73.80028754818048","House","Private room","1","1.0","1","1","Real Bed","{Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Pets live on this property,Heating,Smoke detector,Carbon monoxide detector,First aid kit,Fire extinguisher,Essentials,Hangers,Hair dryer,Iron,Hot water}","1","1","1","2017-09-19","2017-09-19","80","8","8","10","10","6","6","flexible","1","$35.00"
"3506399","https://a0.muscache.com/im/pictures/100468730/0e3ac87a_original.jpg?aki_policy=large","17654441","2014-07-04","within an hour","100%","N/A","f","https://a0.muscache.com/im/users/17654441/profile_pic/1404520557/original.jpg?aki_policy=profile_x_medium","3","{email, phone, reviews}","f","40.58864138521604","-73.79482669695945","House","Private room","2","1.0","1","1","Real Bed","{TV,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Smoke detector,Carbon monoxide detector,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Patio or balcony,Garden or backyard}","2","1","15","2016-08-08","2017-09-04","99","10","9","10","10","9","9","moderate","1.07","$76.00"
"581542","https://a0.muscache.com/im/pictures/7941417/051b1837_original.jpg?aki_policy=large","2861854","2012-07-07","within an hour","100%","N/A","t","https://a0.muscache.com/im/users/2861854/profile_pic/1341710855/original.jpg?aki_policy=profile_x_medium","2","{email, phone, facebook, reviews, kba}","t","40.59783490745939","-73.80157597617567","Apartment","Entire home/apt","4","1.0","1","2","Real Bed","{Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Heating,Family/kid friendly}","2","1","55","2012-08-20","2017-06-01","95","9","9","10","10","8","9","moderate","0.88","$92.00"
"6585028","https://a0.muscache.com/im/pictures/7160a0ef-f6b1-433d-8c21-fa674a4e3a35.jpg?aki_policy=large","19866189","2014-08-11","within an hour","100%","N/A","f","https://a0.muscache.com/im/pictures/c374698b-98d1-411d-a403-70c5475f1c45.jpg?aki_policy=profile_x_medium","5","{email, phone, facebook, reviews, jumio}","t","40.58977186325742","-73.79497947580826","Bed & Breakfast","Private room","2","2.0","1","1","Real Bed","{TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Gym,Pets live on this property,Cat(s),Indoor fireplace,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50}","1","1","50","2015-06-24","2017-08-13","97","10","10","10","10","10","10","strict","1.80","$159.00"
"7043746","https://a0.muscache.com/im/pictures/89348885/4cd648f6_original.jpg?aki_policy=large","36935244","2015-06-28","within an hour","97%","N/A","f","https://a0.muscache.com/im/users/36935244/profile_pic/1435500183/original.jpg?aki_policy=profile_x_medium","4","{email, phone, reviews, jumio}","t","40.592697200718554","-73.78989597523456","Apartment","Entire home/apt","12","2.5","3","5","Real Bed","{TV,Internet,Wireless Internet,Kitchen,Breakfast,Heating,Family/kid friendly,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo}","10","1","79","2015-07-01","2017-09-24","88","9","9","9","9","8","9","strict","2.87","$250.00"
"6520350","https://a0.muscache.com/im/pictures/3b6a8c57-43eb-4b47-817c-ba7fc0b612bd.jpg?aki_policy=large","4089529","2012-11-07","within an hour","80%","N/A","f","https://a0.muscache.com/im/pictures/5f9fb400-eb6e-44cf-810c-e35f645fdc3a.jpg?aki_policy=profile_x_medium","1","{email, phone, facebook, reviews, kba}","t","40.59399394989895","-73.7969279141827","House","Entire home/apt","10","1.5","4","5","Real Bed","{Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Heating,Family/kid friendly,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,Private entrance,Bathtub,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Patio or balcony,Garden or backyard}","10","1","47","2015-06-05","2017-09-17","97","10","10","10","10","9","9","strict","1.65","$300.00"
"18802889","https://a0.muscache.com/im/pictures/10a9d6ff-0f9a-43c4-a146-3f1a009055bd.jpg?aki_policy=large","51524470","2015-12-16","within an hour","98%","N/A","f","https://a0.muscache.com/im/pictures/b0e81006-5285-420c-8beb-afe03e3a4e8f.jpg?aki_policy=profile_x_medium","8","{email, phone, reviews, jumio, government_id}","t","40.5922142661694","-73.78835310972768","Apartment","Entire home/apt","8","1.0","2","5","Real Bed","{TV,Wireless Internet,Kitchen,Pets allowed,Heating,Family/kid friendly,Smoke detector,Carbon monoxide detector,First aid kit,Fire extinguisher,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace}","10","1","11","2017-05-28","2017-08-27","87","9","9","10","9","9","8","strict","2.56","$200.00"
"16082923","https://a0.muscache.com/im/pictures/1de990ae-2a3e-4c3a-83fb-7f627cc9fa24.jpg?aki_policy=large","29474145","2015-03-16","within an hour","100%","N/A","t","https://a0.muscache.com/im/pictures/176077b4-f305-4ba9-90ca-5340f859f943.jpg?aki_policy=profile_x_medium","1","{email, phone, google, reviews, jumio, kba}","t","40.59097559888161","-73.80080695309101","Bungalow","Entire home/apt","4","1.0","1","2","Real Bed","{Internet,Wireless Internet,Kitchen,Free parking on premises,Breakfast,Heating,Family/kid friendly,Smoke detector,Essentials,Shampoo,Lock on bedroom door,translation missing: en.hosting_amenity_50}","1","2","31","2017-01-06","2017-09-17","99","10","10","10","10","9","10","strict","3.43","$100.00"
"19487730","https://a0.muscache.com/im/pictures/a0e7bd91-4230-434a-b106-720b15f31e5e.jpg?aki_policy=large","40428413","2015-08-03","within an hour","100%","N/A","t","https://a0.muscache.com/im/pictures/fe41a547-b0ca-4781-a12c-adc2a50c1677.jpg?aki_policy=profile_x_medium","5","{email, phone, google, reviews, jumio}","t","40.588172072378875","-73.80001640972833","Guest suite","Entire home/apt","2","1.0","1","2","Real Bed","{TV,Wireless Internet,Air conditioning,Pets allowed,Gym,Heating,Family/kid friendly,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Laptop friendly workspace,Private living room,Private entrance,Bathtub,Babysitter recommendations,Hot water,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Single level home,BBQ grill,Patio or balcony,Garden or backyard,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Well-lit path to entrance,Step-free access,Wide doorway,Wide clearance to bed,Accessible-height bed,Step-free access,Wide doorway,Fixed grab bars for shower & toilet,Step-free access,Wide entryway,Host greets you,Waterfront,Beachfront,Handheld shower head}","1","2","13","2017-07-04","2017-09-24","98","10","10","10","10","10","10","strict","4.24","$99.00"
"14110407","https://a0.muscache.com/im/pictures/1890f01e-564a-440f-8ee4-00e56f0679d2.jpg?aki_policy=large","84765662","2016-07-19","within an hour","100%","N/A","t","https://a0.muscache.com/im/pictures/f2f877e1-f972-4def-bf43-712d6dad17b0.jpg?aki_policy=profile_x_medium","1","{email, phone, reviews, jumio, government_id}","t","40.588428463743675","-73.79905103545562","House","Entire home/apt","8","2.0","4","5","Real Bed","{TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,Bathtub,Changing table,Stair gates,Crib,Room-darkening shades,Children’s dinnerware}","6","3","11","2016-08-08","2017-09-18","100","10","10","10","10","10","10","strict","0.78","$450.00"
"16449771","https://a0.muscache.com/im/pictures/eb922fe5-06a7-4ce1-bc56-bd3131067186.jpg?aki_policy=large","36234811","2015-06-19","within a few hours","100%","N/A","f","https://a0.muscache.com/im/users/36234811/profile_pic/1434758939/original.jpg?aki_policy=profile_x_medium","4","{email, phone, google, linkedin, reviews}","f","40.59210057171748","-73.79285266135658","House","Private room","2","1.0","1","1","Real Bed","{TV,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Laptop friendly workspace,translation missing: en.hosting_amenity_50}","1","1","12","2016-12-26","2017-09-17","95","9","10","10","10","9","9","strict","1.28","$55.00"
"7894007","https://a0.muscache.com/im/pictures/8cf67d68-e78f-4cee-af9f-65b4334d8355.jpg?aki_policy=large","41619645","2015-08-16","within a few hours","100%","N/A","t","https://a0.muscache.com/im/users/41619645/profile_pic/1440745850/original.jpg?aki_policy=profile_x_medium","1","{email, phone, reviews, kba}","t","40.58874928384682","-73.79108851275433","House","Entire home/apt","8","1.0","2","6","Real Bed","{TV,Cable TV,Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,Self Check-In,Smart lock,Keypad,Private entrance,Outlet covers,Baby bath,High chair,Stair gates,Pack ’n Play/travel crib,Room-darkening shades,Hot water,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Oven,Stove,Patio or balcony,Beachfront}","4","1","51","2015-08-18","2017-09-23","98","10","10","10","10","10","10","strict","1.97","$200.00"
"13657292","https://a0.muscache.com/im/pictures/b7a648b8-9ea0-4de6-8f90-2f8793d0abf0.jpg?aki_policy=large","79341807","2016-06-22","within an hour","100%","N/A","f","https://a0.muscache.com/im/pictures/8b0983bf-73cf-4c5d-afd2-ccb14ac08464.jpg?aki_policy=profile_x_medium","1","{email, phone, google, reviews, jumio, government_id}","t","40.59420946644204","-73.80042763110086","House","Entire home/apt","6","1.0","2","2","Real Bed","{Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Pets allowed,Heating,Family/kid friendly,Smoke detector,Carbon monoxide detector,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,Private entrance,Children’s books and toys}","4","2","25","2016-06-30","2017-09-17","94","10","9","10","10","9","9","strict","1.63","$160.00"
"13525009","https://a0.muscache.com/im/pictures/ce73962c-1346-469a-af8f-e62bf523f096.jpg?aki_policy=large","36935244","2015-06-28","within an hour","97%","N/A","f","https://a0.muscache.com/im/users/36935244/profile_pic/1435500183/original.jpg?aki_policy=profile_x_medium","4","{email, phone, reviews, jumio}","t","40.592076005155725","-73.78917051040402","Apartment","Private room","2","1.0","1","2","Real Bed","{TV,Cable TV,Internet,Wireless Internet,Kitchen,Pets allowed,Heating,Family/kid friendly,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace}","2","1","11","2016-10-08","2017-09-25","89","10","9","10","10","9","10","strict","0.92","$30.00"
"13524592","https://a0.muscache.com/im/pictures/e02c9902-fd11-4942-9082-f014207a0e6b.jpg?aki_policy=large","36935244","2015-06-28","within an hour","97%","N/A","f","https://a0.muscache.com/im/users/36935244/profile_pic/1435500183/original.jpg?aki_policy=profile_x_medium","4","{email, phone, reviews, jumio}","t","40.5910404784648","-73.78892078897924","Apartment","Private room","2","1.0","1","2","Real Bed","{TV,Cable TV,Internet,Wireless Internet,Kitchen,Pets allowed,Heating,Family/kid friendly,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace}","2","1","10","2016-10-21","2017-08-11","98","10","10","10","10","9","10","strict","0.86","$30.00"
"12211396","https://a0.muscache.com/im/pictures/7006af85-a7ab-45a3-8442-b7a3810979bc.jpg?aki_policy=large","10571718","2013-12-11","N/A","N/A","N/A","f","https://a0.muscache.com/im/users/10571718/profile_pic/1386799069/original.jpg?aki_policy=profile_x_medium","1","{email, phone, reviews, kba, work_email}","t","40.58970864893307","-73.79257383391544","House","Private room","2","1.0","1","1","Real Bed","{Internet,Wireless Internet,Air conditioning,Kitchen,Heating,Washer,Dryer,Smoke detector,Essentials,Lock on bedroom door,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50}","1","3","2","2016-05-02","2016-07-18","100","10","9","10","10","10","10","moderate","0.12","$55.00"
"6044964","https://a0.muscache.com/im/pictures/83164080/28ca0076_original.jpg?aki_policy=large","31204745","2015-04-14","within an hour","100%","N/A","t","https://a0.muscache.com/im/users/31204745/profile_pic/1432941296/original.jpg?aki_policy=profile_x_medium","1","{email, phone, reviews, kba}","t","40.589207236967994","-73.79479285389083","Apartment","Entire home/apt","5","1.0","1","2","Real Bed","{TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Self Check-In,Keypad,Private entrance,Bathtub,Hot water,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Patio or balcony,Long term stays allowed,Wide hallway clearance,Wide doorway,Well-lit path to entrance,Step-free access,Wide doorway,Wide clearance to bed,Step-free access,Accessible-height toilet,Wide clearance to shower & toilet,Step-free access}","4","2","73","2015-05-31","2017-09-15","99","10","10","10","10","9","10","moderate","2.56","$150.00"
"14124508","https://a0.muscache.com/im/pictures/4257c258-6a2a-4987-9e4a-3ed6b7f759ad.jpg?aki_policy=large","55119276","2016-01-18","within a day","100%","N/A","t","https://a0.muscache.com/im/pictures/7fa8f801-834a-4887-9831-9715facef5a0.jpg?aki_policy=profile_x_medium","1","{email, phone, reviews, work_email}","f","40.5888237751003","-73.79590529044064","Apartment","Entire home/apt","4","1.0","2","2","Real Bed","{TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Essentials,Shampoo,Lock on bedroom door,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Self Check-In,Keypad,Private entrance,Hot water,Bed linens}","1","2","31","2016-08-21","2017-09-10","99","10","10","10","10","10","10","flexible","2.28","$101.00"
